"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Biomass_kg","Mean_Plot_Biomass_kg_m2"
"497","Trøndelag","sl_tydal","SEB","B",7,3.244843995,0.258216480683152
"498","Hedmark","sorum_1","SKB","B",7,4.07373915,0.324177861294738
"499","Trøndelag","selbu_sl","SLB","B",7,5.434119985,0.432433528483603
"500","Hedmark","stangeskovene_aurskog","SSAB","B",7,2.848583125,0.226683042575954
"501","Hedmark","stangeskovene_eidskog","SSBB","B",7,5.049565625,0.401831664842833
"502","Hedmark","eidskog","STSKNB","B",7,13.72778125,1.09242212181087
"503","Hedmark","truls_holm","THB","B",7,9.60061507,0.763992672556521
"504","Trøndelag","steinkjer_1bbb","1BBUB","UB",7,5.562166025,0.442623108588274
"505","Telemark","nome_cappelen1","1CAUB","UB",7,3.0137659125,0.239827871148116
"506","Telemark","drangedal1","1DRUB","UB",7,4.1221512625,0.328030374799686
"507","Telemark","fritsoe1","1FRUB","UB",7,13.939517025,1.10927151942119
"508","Telemark","furesdal","1FYUB","UB",7,5.5986781375,0.445528650181826
"509","Trøndelag","namdalseid_1kub","1KUB","UB",7,10.953876275,0.871681777591644
"510","Telemark","kviteseid1","1KVUB","UB",7,2.851009175,0.226876101500798
"511","Telemark","notodden1","1NOUB","UB",7,8.2314276375,0.655036198605684
"512","Trøndelag","nsb_verdal","1NSUB","UB",7,1.5566286,0.123872568124108
"513","Trøndelag","sub_namdalseid","1SUB","UB",7,4.68403275,0.372743482883412
"514","Trøndelag","verdal_1vb","1VBUB","UB",7,0.946961925,0.0753568356417833
"515","Trøndelag","steinkjer_2bbb","2BBUB","UB",7,3.293387825,0.262079475933708
"516","Telemark","nome_cappelen2","2CAUB","UB",7,8.199295975,0.652479242147366
"517","Telemark","fritsoe2","2FRUB","UB",7,8.13222045,0.647141541465249
"518","Telemark","kviteseid2","2KVUB","UB",7,3.9589011375,0.315039342622626
"519","Trøndelag","verdal_2vb","2VBUB","UB",7,10.8270755875,0.861591299490106
"520","Telemark","drangedal3","3DRUB","UB",7,1.1298912875,0.0899138917810454
"521","Telemark","kviteseid3","3KVUB","UB",7,9.23309455,0.734746318833669
"522","Telemark","notodden3","3NOUB","UB",7,3.4299230875,0.27294460690032
"523","Telemark","drangedal4","4DRUB","UB",7,9.4084394,0.748699818645273
"524","Telemark","notodden4","4NOUB","UB",7,8.294799225,0.660079149306786
"525","Telemark","notodden5","5NOUB","UB",7,17.6291775375,1.40288537386887
"526","Telemark","notodden6","6NOUB","UB",7,3.519221825,0.280050774642816
"527","Trøndelag","bratsberg","BRUB","UB",7,12.7787267875,1.01689876732572
"528","Hedmark","nes_1","DDUB","UB",7,43.6633997125,3.47462294822081
"529","Hedmark","didrik_holmsen","DHUB","UB",7,10.20254855,0.811893016933775
"530","Hedmark","fet_3","FKUB","UB",7,6.83353915,0.543795767267244
"531","Hedmark","halvard_pramhus","HPUB","UB",7,3.7418165375,0.297764299043063
"532","Hedmark","kongsvinger_1","IAAUB","UB",7,54.46580415,4.33425097997378
"533","Hedmark","kongsvinger_2","JCDUB","UB",7,8.75351435,0.69658253911417
"534","Trøndelag","selbu_kl","KLUB","UB",7,6.1244253125,0.48736628104075
"535","Trøndelag","singsaas","LAUB","UB",7,2.6944977375,0.214421317036527
"536","Hedmark","maarud_1","M1UB","UB",7,20.292434675,1.61482064294781
"537","Hedmark","maarud_2","M2UB","UB",7,4.8531782875,0.386203657080942
"538","Hedmark","maarud_3","M3UB","UB",7,4.8709480125,0.387617726866509
"539","Hedmark","nes_2","OLUB","UB",7,24.0033422125,1.91012528192286
"540","Hedmark","stig_dahlen","SDUB","UB",7,53.1539915875,4.22986025310782
"541","Trøndelag","sl_tydal","SEUB","UB",7,8.5337802875,0.6790966580079
"542","Hedmark","sorum_1","SKUB","UB",7,10.9373404125,0.870365895464062
"543","Trøndelag","selbu_sl","SLUB","UB",7,6.414241775,0.510429142338891
"544","Hedmark","stangeskovene_aurskog","SSAUB","UB",7,5.5024036,0.43786736591332
"545","Hedmark","stangeskovene_eidskog","SSBUB","UB",7,4.645364275,0.369666343414374
"546","Hedmark","eidskog","STSKNUB","UB",7,5.242555,0.417189271340566
"547","Hedmark","truls_holm","THUB","UB",7,14.602055375,1.16199464611641
"548","Trøndelag","steinkjer_1bbb","1BBB","B",8,6.87497329,0.547092991364125
"549","Telemark","nome_cappelen1","1CAB","B",8,3.55988509333333,0.283286654721577
"550","Telemark","drangedal1","1DRB","B",8,8.797465105,0.700080029069605
"551","Telemark","fritsoe1","1FRB","B",8,4.509098195,0.358822633310496
"552","Telemark","furesdal","1FYB","B",8,2.42660375,0.193102990868915
"553","Trøndelag","namdalseid_1kub","1KB","B",8,6.07612388,0.483522575170353
"554","Telemark","kviteseid1","1KVB","B",8,5.00514387,0.398296693898299
"555","Telemark","notodden1","1NOB","B",8,4.36096471,0.347034545122907
"556","Trøndelag","nsb_verdal","1NSB","B",8,8.533296375,0.679058149474701
"557","Trøndelag","sub_namdalseid","1SB","B",8,1.902389015,0.151387307710486
"558","Trøndelag","verdal_1vb","1VBB","B",8,0.848762275,0.0675423557880863
"559","Trøndelag","steinkjer_2bbb","2BBB","B",8,8.57320717,0.68223414962819
"560","Telemark","nome_cappelen2","2CAB","B",8,6.6362525,0.528096194490474
"561","Telemark","fritsoe2","2FRB","B",8,6.644714275,0.528769561149765
"562","Telemark","kviteseid2","2KVB","B",8,6.76839507,0.538611766094658
"563","Trøndelag","verdal_2vb","2VBB","B",8,17.021887345,1.35455875585506
"564","Telemark","drangedal3","3DRB","B",8,0.55353375,0.0440488162403467
"565","Telemark","kviteseid3","3KVB","B",8,3.910944495,0.311223074268643
"566","Telemark","notodden3","3NOB","B",8,9.56274803333333,0.76097930952365
"567","Telemark","drangedal4","4DRB","B",8,6.898629005,0.548975453351437
"568","Telemark","notodden4","4NOB","B",8,5.500637345,0.437726811806315
"569","Telemark","notodden5","5NOB","B",8,10.1306021,0.806167700356068
"570","Telemark","notodden6","6NOB","B",8,6.819121615,0.542648456286019
"571","Trøndelag","bratsberg","BRB","B",8,3.12841291,0.2489511893295
"572","Hedmark","didrik_holmsen","DHB","B",8,10.00827007,0.796432826719585
"573","Hedmark","halvard_pramhus","HPB","B",8,13.545896875,1.07794822313465
"574","Trøndelag","selbu_kl","KLB","B",8,8.20811518,0.653181052182311
"575","Trøndelag","singsaas","LAB","B",8,4.07977535,0.324658206828484
"576","Hedmark","maarud_1","M1B","B",8,13.717779375,1.09162619788765
"577","Hedmark","maarud_2","M2B","B",8,6.276035695,0.499431051940214
"578","Hedmark","maarud_3","M3B","B",8,2.31891165,0.184533125845442
"579","Hedmark","stig_dahlen","SDB","B",8,16.660561095,1.32580532647689
"580","Trøndelag","sl_tydal","SEB","B",8,4.45633495,0.354623867682837
"581","Trøndelag","selbu_sl","SLB","B",8,6.583499555,0.523898248510772
"582","Hedmark","stangeskovene_aurskog","SSAB","B",8,5.225300625,0.41581621180496
"583","Hedmark","stangeskovene_eidskog","SSBB","B",8,6.24856125,0.497244705074986
"584","Hedmark","truls_holm","THB","B",8,11.50376099,0.915440212853108
"585","Trøndelag","steinkjer_1bbb","1BBUB","UB",8,6.414326875,0.51043591438172
"586","Telemark","nome_cappelen1","1CAUB","UB",8,3.4467547375,0.274284027049267
"587","Telemark","drangedal1","1DRUB","UB",8,5.90106755,0.46959203505084
"588","Telemark","fritsoe1","1FRUB","UB",8,16.955232175,1.349254505961
"589","Telemark","furesdal","1FYUB","UB",8,5.9148926375,0.470692200557992
"590","Trøndelag","namdalseid_1kub","1KUB","UB",8,14.968158125,1.19112817728743
"591","Telemark","kviteseid1","1KVUB","UB",8,3.40847085,0.271237492081067
"592","Telemark","notodden1","1NOUB","UB",8,9.171611025,0.729853615372437
"593","Trøndelag","nsb_verdal","1NSUB","UB",8,1.78770773333333,0.142261261281804
"594","Trøndelag","sub_namdalseid","1SUB","UB",8,6.215146125,0.494585613916094
"595","Trøndelag","verdal_1vb","1VBUB","UB",8,1.82655545,0.145352664349471
"596","Trøndelag","steinkjer_2bbb","2BBUB","UB",8,4.1548345,0.330631224201872
"597","Telemark","nome_cappelen2","2CAUB","UB",8,9.6856386625,0.770758635069424
"598","Telemark","fritsoe2","2FRUB","UB",8,10.930580725,0.869827976624372
"599","Telemark","kviteseid2","2KVUB","UB",8,5.572570525,0.443451072390974
"600","Trøndelag","verdal_2vb","2VBUB","UB",8,14.1833260125,1.12867322218662
"601","Telemark","drangedal3","3DRUB","UB",8,1.91590665,0.152463006925067
"602","Telemark","kviteseid3","3KVUB","UB",8,10.911798575,0.868333340617175
"603","Telemark","notodden3","3NOUB","UB",8,4.08899385,0.32539179174993
"604","Telemark","drangedal4","4DRUB","UB",8,11.866138475,0.944277296854587
"605","Telemark","notodden4","4NOUB","UB",8,10.168564275,0.809188634256953
"606","Telemark","notodden5","5NOUB","UB",8,19.3549072125,1.54021457797718
"607","Telemark","notodden6","6NOUB","UB",8,4.35362695,0.346450624735296
"608","Trøndelag","bratsberg","BRUB","UB",8,17.6795887,1.40689696671831
"609","Hedmark","didrik_holmsen","DHUB","UB",8,11.176821775,0.889423216774191
"610","Hedmark","halvard_pramhus","HPUB","UB",8,4.4178803875,0.351563750829682
"611","Trøndelag","selbu_kl","KLUB","UB",8,7.0785096125,0.563289897276436
"612","Trøndelag","singsaas","LAUB","UB",8,1.5235811125,0.121242732627912
"613","Hedmark","maarud_1","M1UB","UB",8,26.9443993,2.1441671686184
"614","Hedmark","maarud_2","M2UB","UB",8,7.7514734,0.61684265392767
"615","Hedmark","maarud_3","M3UB","UB",8,6.3713284625,0.50701420943448
"616","Hedmark","stig_dahlen","SDUB","UB",8,53.4925921375,4.25680522874089
"617","Trøndelag","sl_tydal","SEUB","UB",8,12.1158768875,0.964150848269236
"618","Trøndelag","selbu_sl","SLUB","UB",8,9.2405904,0.735342819623757
"619","Hedmark","stangeskovene_aurskog","SSAUB","UB",8,5.1507439625,0.409883181116306
"620","Hedmark","stangeskovene_eidskog","SSBUB","UB",8,6.2094971625,0.494136083763487
"621","Hedmark","truls_holm","THUB","UB",8,15.9061653875,1.26577242352892
"622","Trøndelag","steinkjer_1bbb","1BBB","B",9,6.913773115,0.550180583334051
"623","Telemark","nome_cappelen1","1CAB","B",9,5.36424304,0.426872897881148
"624","Telemark","drangedal1","1DRB","B",9,9.768550105,0.777356518025802
"625","Telemark","fritsoe1","1FRB","B",9,5.466116945,0.43497976565756
"626","Telemark","furesdal","1FYB","B",9,2.562875625,0.20394716212424
"627","Trøndelag","namdalseid_1kub","1KB","B",9,6.335415355,0.504156335144272
"628","Telemark","kviteseid1","1KVB","B",9,5.34589057,0.425412454721925
"629","Telemark","notodden1","1NOB","B",9,5.547613755,0.44146507573642
"630","Trøndelag","nsb_verdal","1NSB","B",9,11.47797523,0.913388247270417
"631","Trøndelag","sub_namdalseid","1SB","B",9,2.415429535,0.192213775092704
"632","Trøndelag","verdal_1vb","1VBB","B",9,1.254470695,0.0998276060365877
"633","Trøndelag","steinkjer_2bbb","2BBB","B",9,10.59889191,0.8434330193866
"634","Telemark","nome_cappelen2","2CAB","B",9,7.526216875,0.598917309218944
"635","Telemark","fritsoe2","2FRB","B",9,7.403615525,0.589161003777824
"636","Telemark","kviteseid2","2KVB","B",9,8.543122275,0.679840069752364
"637","Trøndelag","verdal_2vb","2VBB","B",9,18.83962863,1.49921001124005
"638","Telemark","drangedal3","3DRB","B",9,0.41621375,0.0331212378476572
"639","Telemark","kviteseid3","3KVB","B",9,4.85328083,0.386211817153818
"640","Telemark","notodden3","3NOB","B",9,9.67022915,0.769532385026919
"641","Telemark","drangedal4","4DRB","B",9,8.01750661,0.638012904126722
"642","Telemark","notodden4","4NOB","B",9,5.207349845,0.414387734120283
"643","Telemark","notodden5","5NOB","B",9,11.834265295,0.941740909780058
"644","Telemark","notodden6","6NOB","B",9,8.68438632,0.691081505273817
"645","Trøndelag","bratsberg","BRB","B",9,4.27021396,0.339812829897009
"646","Trøndelag","selbu_kl","KLB","B",9,9.572462855,0.761752390468403
"647","Trøndelag","singsaas","LAB","B",9,4.414288735,0.35127793620506
"648","Hedmark","maarud_1","M1B","B",9,20.22274,1.6092745169311
"649","Hedmark","maarud_2","M2B","B",9,10.158043525,0.808351419573185
"650","Hedmark","maarud_3","M3B","B",9,3.2061654,0.255138535890102
"651","Trøndelag","sl_tydal","SEB","B",9,5.385381895,0.428555074513424
"652","Trøndelag","selbu_sl","SLB","B",9,7.98446077,0.63538319973441
"653","Trøndelag","steinkjer_1bbb","1BBUB","UB",9,6.636977975,0.528153925956644
"654","Telemark","nome_cappelen1","1CAUB","UB",9,3.9915014125,0.317633590078829
"655","Telemark","drangedal1","1DRUB","UB",9,6.6974414125,0.53296545343387
"656","Telemark","fritsoe1","1FRUB","UB",9,19.2722973625,1.53364069498939
"657","Telemark","furesdal","1FYUB","UB",9,6.3535256375,0.505597505634605
"658","Trøndelag","namdalseid_1kub","1KUB","UB",9,16.276587675,1.29524969257244
"659","Telemark","kviteseid1","1KVUB","UB",9,4.070177725,0.323894452098138
"660","Telemark","notodden1","1NOUB","UB",9,11.936571675,0.949882192823477
"661","Trøndelag","nsb_verdal","1NSUB","UB",9,2.167913375,0.172517064913142
"662","Trøndelag","sub_namdalseid","1SUB","UB",9,7.098752075,0.56490074126005
"663","Trøndelag","verdal_1vb","1VBUB","UB",9,2.2626697875,0.180057540632657
"664","Trøndelag","steinkjer_2bbb","2BBUB","UB",9,4.7886455,0.38106830101988
"665","Telemark","nome_cappelen2","2CAUB","UB",9,11.2115003,0.892182846110634
"666","Telemark","fritsoe2","2FRUB","UB",9,11.4283749,0.909441178421173
"667","Telemark","kviteseid2","2KVUB","UB",9,6.1861647,0.492279345392796
"668","Trøndelag","verdal_2vb","2VBUB","UB",9,14.10718425,1.12261405324782
"669","Telemark","drangedal3","3DRUB","UB",9,2.1011882,0.167207244198181
"670","Telemark","kviteseid3","3KVUB","UB",9,11.569860425,0.920700238761023
"671","Telemark","notodden3","3NOUB","UB",9,4.438943525,0.353239902054756
"672","Telemark","drangedal4","4DRUB","UB",9,12.22922135,0.973170514008721
"673","Telemark","notodden4","4NOUB","UB",9,11.7632790375,0.936092002893699
"674","Telemark","notodden5","5NOUB","UB",9,20.6164419375,1.64060432166009
"675","Telemark","notodden6","6NOUB","UB",9,5.1595544125,0.410584294450487
"676","Trøndelag","bratsberg","BRUB","UB",9,19.557673525,1.55635020844062
"677","Trøndelag","selbu_kl","KLUB","UB",9,8.32576895,0.66254364171676
"678","Trøndelag","singsaas","LAUB","UB",9,2.6569965375,0.211437066360588
"679","Hedmark","maarud_1","M1UB","UB",9,34.175723125,2.71961763454187
"680","Hedmark","maarud_2","M2UB","UB",9,10.43576455,0.830451756537834
"681","Hedmark","maarud_3","M3UB","UB",9,8.0116884,0.637549905685999
"682","Trøndelag","sl_tydal","SEUB","UB",9,13.94787195,1.10993638322765
"683","Trøndelag","selbu_sl","SLUB","UB",9,11.353341975,0.903470247966976
"684","Trøndelag","steinkjer_1bbb","1BBB","B",10,7.013651465,0.558128649889232
"685","Trøndelag","namdalseid_1kub","1KB","B",10,6.32215768,0.503101322889195
"686","Trøndelag","nsb_verdal","1NSB","B",10,12.470758805,0.992391453961264
"687","Trøndelag","sub_namdalseid","1SB","B",10,2.956448615,0.235266705537219
"688","Trøndelag","verdal_1vb","1VBB","B",10,1.00147382,0.0796947544150615
"689","Trøndelag","steinkjer_2bbb","2BBB","B",10,11.11129805,0.884209004412419
"690","Trøndelag","verdal_2vb","2VBB","B",10,19.153588335,1.52419413073126
"691","Trøndelag","bratsberg","BRB","B",10,3.71510716,0.295638834315046
"692","Trøndelag","selbu_kl","KLB","B",10,7.403049365,0.589115950196534
"693","Trøndelag","singsaas","LAB","B",10,3.80354403,0.302676416821084
"694","Hedmark","maarud_1","M1B","B",10,22.93870125,1.82540384602287
"695","Hedmark","maarud_2","M2B","B",10,13.67397323,1.08814021563038
"696","Hedmark","maarud_3","M3B","B",10,5.21210842666667,0.414766410017461
"697","Trøndelag","sl_tydal","SEB","B",10,5.49816726,0.437530248687511
"698","Trøndelag","selbu_sl","SLB","B",10,11.094752835,0.882892378036535
"699","Trøndelag","steinkjer_1bbb","1BBUB","UB",10,8.41097775,0.669324342574224
"700","Trøndelag","namdalseid_1kub","1KUB","UB",10,17.576706525,1.39870986336466
"701","Trøndelag","nsb_verdal","1NSUB","UB",10,2.768636,0.220321052511086
"702","Trøndelag","sub_namdalseid","1SUB","UB",10,7.34983085,0.584880955333403
"703","Trøndelag","verdal_1vb","1VBUB","UB",10,1.6728185875,0.133118673548314
"704","Trøndelag","steinkjer_2bbb","2BBUB","UB",10,5.30221,0.421936465405639
"705","Trøndelag","verdal_2vb","2VBUB","UB",10,15.853535125,1.26158424031237
"706","Trøndelag","bratsberg","BRUB","UB",10,19.5729601,1.55756667542772
"707","Trøndelag","selbu_kl","KLUB","UB",10,8.0136072625,0.637702603911993
"708","Trøndelag","singsaas","LAUB","UB",10,2.059658475,0.163902413688682
"709","Hedmark","maarud_1","M1UB","UB",10,39.050896925,3.10757163889292
"710","Hedmark","maarud_2","M2UB","UB",10,14.20850865,1.13067719280573
"711","Hedmark","maarud_3","M3UB","UB",10,11.109795625,0.884089445229731
"712","Trøndelag","sl_tydal","SEUB","UB",10,16.3357736125,1.29995955982976
"713","Trøndelag","selbu_sl","SLUB","UB",10,10.66595945,0.848770084642607
"714","Trøndelag","steinkjer_1bbb","1BBB","B",11,7.92661367,0.630779873780145
"715","Trøndelag","namdalseid_1kub","1KB","B",11,7.21322261,0.574010017001861
"716","Trøndelag","nsb_verdal","1NSB","B",11,14.69742667,1.16958405263058
"717","Trøndelag","sub_namdalseid","1SB","B",11,3.563651115,0.283586345203597
"718","Trøndelag","verdal_1vb","1VBB","B",11,1.03613823,0.0824532605154936
"719","Trøndelag","steinkjer_2bbb","2BBB","B",11,9.781040775,0.778350493962316
"720","Trøndelag","verdal_2vb","2VBB","B",11,17.88086488,1.42291401620514
"721","Trøndelag","bratsberg","BRB","B",11,4.201912995,0.33437761179816
"722","Trøndelag","selbu_kl","KLB","B",11,7.641405995,0.608083768138146
"723","Trøndelag","singsaas","LAB","B",11,4.717716825,0.375423976403276
"724","Hedmark","maarud_1","M1B","B",11,27.23080125,2.16695831164523
"725","Hedmark","maarud_2","M2B","B",11,17.744878855,1.41209259217005
"726","Hedmark","maarud_3","M3B","B",11,8.28807509333333,0.659544059910411
"727","Trøndelag","sl_tydal","SEB","B",11,6.37225568,0.507087995058703
"728","Trøndelag","selbu_sl","SLB","B",11,10.10052648,0.803774358561291
"729","Trøndelag","steinkjer_1bbb","1BBUB","UB",11,6.31132985,0.502239671555465
"730","Trøndelag","namdalseid_1kub","1KUB","UB",11,15.540110725,1.23664271903956
"731","Trøndelag","nsb_verdal","1NSUB","UB",11,2.3876422375,0.190002532216559
"732","Trøndelag","sub_namdalseid","1SUB","UB",11,8.114437725,0.645726437172552
"733","Trøndelag","verdal_1vb","1VBUB","UB",11,1.2402475875,0.0986957671042115
"734","Trøndelag","steinkjer_2bbb","2BBUB","UB",11,5.320889725,0.423422950690313
"735","Trøndelag","verdal_2vb","2VBUB","UB",11,13.66559055,1.0874731431512
"736","Trøndelag","bratsberg","BRUB","UB",11,17.9232852,1.42628971801291
"737","Trøndelag","selbu_kl","KLUB","UB",11,9.2842662875,0.738818436318533
"738","Trøndelag","singsaas","LAUB","UB",11,2.40840565,0.191654832083975
"739","Hedmark","maarud_1","M1UB","UB",11,41.541068125,3.30573316670546
"740","Hedmark","maarud_2","M2UB","UB",11,15.2447514375,1.2131387737427
"741","Hedmark","maarud_3","M3UB","UB",11,11.639205025,0.926218506694389
"742","Trøndelag","sl_tydal","SEUB","UB",11,19.7409719375,1.57093663264576
"743","Trøndelag","selbu_sl","SLUB","UB",11,10.90419825,0.867728525970747
