"","Region","LocalityName","Years_Since_Exclosure","Delta_C","Delta_A","RF_Delta_C","RF_Delta_A","Net_RF","C_Eq_Delta_C","C_Eq_Delta_A","Net_C_Eq"
"271","Trøndelag","selbu_flub",7,-0.286077546,0.00496237,1.84e-16,-5.45e-16,-3.62e-16,0.1048951,-0.311503631,-0.206608531
"272","Trøndelag","selbu_flub",8,-0.391720054,-0.001092881,2.51e-16,2.85e-16,5.36e-16,0.143630686,0.162622532,0.306253219
"273","Trøndelag","selbu_flub",9,1.882381118,-0.016968838,-1.21e-15,2.36e-15,1.15e-15,-0.69020641,1.346576889,0.656370479
"274","Trøndelag","selbu_flub",10,2.984664668,0.010767098,-1.92e-15,-1.03e-15,-2.94e-15,-1.094377045,-0.586351188,-1.680728233
"275","Trøndelag","selbu_flub",11,1.043596207,-0.008544108,-6.7e-16,1.26e-15,5.95e-16,-0.382651943,0.722616534,0.339964592
"276","Trøndelag","selbu_kl",1,-1.238003079,-0.001924553,7.94e-16,8.05e-17,8.75e-16,0.453934462,0.046004189,0.499938651
"277","Trøndelag","selbu_kl",2,-0.547799438,-0.004057674,3.52e-16,4.62e-16,8.14e-16,0.200859794,0.264018888,0.464878682
"278","Trøndelag","selbu_kl",3,-0.587374479,0.00081313,3.77e-16,2.1e-17,3.98e-16,0.215370642,0.011972377,0.227343019
"279","Trøndelag","selbu_kl",4,-1.476958771,0.000304241,9.48e-16,-4.84e-17,8.99e-16,0.541551549,-0.027680072,0.513871477
"280","Trøndelag","selbu_kl",5,-1.242291339,-0.001764629,7.97e-16,2.23e-16,1.02e-15,0.455506824,0.12766146,0.583168284
"281","Trøndelag","selbu_kl",6,-2.201725125,0.000754255,1.41e-15,-1.27e-16,1.29e-15,0.807299213,-0.072811289,0.734487924
"282","Trøndelag","selbu_kl",7,-1.162139479,-0.005459618,7.46e-16,6.82e-16,1.43e-15,0.426117809,0.389452543,0.815570352
"283","Trøndelag","selbu_kl",8,-0.495439595,-0.009368841,3.18e-16,1.18e-15,1.5e-15,0.181661185,0.676053666,0.857714851
"284","Trøndelag","selbu_kl",9,-0.546793979,-0.008269924,3.51e-16,1.03e-15,1.38e-15,0.200491126,0.587597725,0.788088851
"285","Trøndelag","selbu_kl",10,0.267787771,-0.009323298,-1.72e-16,1.17e-15,1e-15,-0.098188849,0.669416114,0.571227264
"286","Trøndelag","selbu_kl",11,0.72055066,-0.013236638,-4.62e-16,1.72e-15,1.25e-15,-0.264201909,0.980421789,0.71621988
"287","Trøndelag","selbu_sl",1,-0.034139306,0.010769906,2.19e-17,-1.17e-15,-1.15e-15,0.012517746,-0.66980998,-0.657292234
"288","Trøndelag","selbu_sl",2,-0.04761689,0.004415417,3.06e-17,-4.79e-16,-4.49e-16,0.017459526,-0.273874349,-0.256414823
"289","Trøndelag","selbu_sl",3,0.065563603,0.00138996,-4.21e-17,-1.31e-16,-1.73e-16,-0.024039988,-0.075042059,-0.099082046
"290","Trøndelag","selbu_sl",4,0.177211718,0.000574427,-1.14e-16,-3.6e-17,-1.5e-16,-0.06497763,-0.020572848,-0.085550478
"291","Trøndelag","selbu_sl",5,-0.080213163,0.000950891,5.15e-17,-1.11e-16,-5.97e-17,0.029411493,-0.06355016,-0.034138667
"292","Trøndelag","selbu_sl",6,-0.05492636,0.000838628,3.52e-17,-7.45e-17,-3.93e-17,0.020139665,-0.04257653,-0.022436865
"293","Trøndelag","selbu_sl",7,0.429876726,-0.005464325,-2.76e-16,7.17e-16,4.41e-16,-0.157621466,0.409433284,0.251811818
"294","Trøndelag","selbu_sl",8,1.165387326,-0.008644581,-7.48e-16,1.19e-15,4.47e-16,-0.427308686,0.682456901,0.255148215
"295","Trøndelag","selbu_sl",9,1.477575171,-0.004824785,-9.48e-16,7.92e-16,-1.56e-16,-0.541777563,0.452600012,-0.08917755
"296","Trøndelag","selbu_sl",10,-0.188066726,-0.000191125,1.21e-16,1.9e-16,3.1e-16,0.0689578,0.108391452,0.177349252
"297","Trøndelag","selbu_sl",11,0.352486591,-0.001994077,-2.26e-16,4.13e-16,1.87e-16,-0.129245084,0.236216552,0.106971468
"298","Trøndelag","singsaas",1,0.006101552,-0.012219109,-3.92e-18,1.48e-15,1.48e-15,-0.002237236,0.845966878,0.843729642
"299","Trøndelag","singsaas",2,-0.040477868,-0.014148506,2.6e-17,1.5e-15,1.53e-15,0.014841885,0.859337979,0.874179864
"300","Trøndelag","singsaas",3,0.201212504,-0.011348007,-1.29e-16,1.43e-15,1.3e-15,-0.073777918,0.817827466,0.744049548
"301","Trøndelag","singsaas",4,-0.138196771,-0.007821886,8.87e-17,1.02e-15,1.1e-15,0.050672149,0.580192296,0.630864445
"302","Trøndelag","singsaas",5,-0.037475253,-0.00663997,2.4e-17,9.68e-16,9.92e-16,0.013740926,0.553123063,0.566863989
"303","Trøndelag","singsaas",6,-0.053651119,-0.006850211,3.44e-17,9.22e-16,9.56e-16,0.019672077,0.526751029,0.546423106
"304","Trøndelag","singsaas",7,-0.1754129,-0.005266685,1.13e-16,7.29e-16,8.42e-16,0.064318063,0.416547159,0.480865223
"305","Trøndelag","singsaas",8,-1.121134557,-0.000808747,7.19e-16,1.63e-16,8.82e-16,0.411082671,0.092919644,0.504002315
"306","Trøndelag","singsaas",9,-0.770739946,-0.001887543,4.95e-16,3.01e-16,7.96e-16,0.282604647,0.171977326,0.454581973
"307","Trøndelag","singsaas",10,-0.764859857,-0.001840132,4.91e-16,2.35e-16,7.26e-16,0.280448614,0.134134677,0.414583291
"308","Trøndelag","singsaas",11,-1.012852827,-0.000736408,6.5e-16,1.19e-16,7.69e-16,0.37137937,0.068271818,0.439651188
"309","Trøndelag","sl_tydal",1,0.12375017,-0.001660818,-7.94e-17,2e-16,1.2e-16,-0.045375062,0.114020898,0.068645836
"310","Trøndelag","sl_tydal",2,0.396411137,0.00040749,-2.54e-16,6.65e-17,-1.88e-16,-0.14535075,0.037979848,-0.107370903
"311","Trøndelag","sl_tydal",3,0.781175604,-0.001918085,-5.01e-16,3.74e-16,-1.27e-16,-0.286431055,0.213624401,-0.072806654
"312","Trøndelag","sl_tydal",4,1.235585209,-0.002673997,-7.93e-16,5.42e-16,-2.51e-16,-0.45304791,0.309852764,-0.143195146
"313","Trøndelag","sl_tydal",5,1.012961856,-0.00649394,-6.5e-16,8.81e-16,2.31e-16,-0.371419347,0.503199502,0.131780155
"314","Trøndelag","sl_tydal",6,1.654053403,-0.011221145,-1.06e-15,1.52e-15,4.63e-16,-0.606486248,0.870860403,0.264374156
"315","Trøndelag","sl_tydal",7,2.319702141,-0.015206597,-1.49e-15,2.05e-15,5.62e-16,-0.850557452,1.171574933,0.321017481
"316","Trøndelag","sl_tydal",8,3.35943843,-0.021477132,-2.16e-15,2.86e-15,7.05e-16,-1.231794091,1.634732792,0.402938702
"317","Trøndelag","sl_tydal",9,3.755467152,-0.020381843,-2.41e-15,2.8e-15,3.93e-16,-1.377004622,1.601651045,0.224646422
"318","Trøndelag","sl_tydal",10,4.75332227,-0.022679305,-3.05e-15,3.13e-15,7.8e-17,-1.742884832,1.787432199,0.044547366
"319","Trøndelag","sl_tydal",11,5.863454958,-0.022932301,-3.76e-15,3.2e-15,-5.64e-16,-2.149933485,1.827544365,-0.32238912
"320","Hedmark","sorum_1",2,0.261647829,0.00125861,-1.68e-16,-2.02e-16,-3.7e-16,-0.095937537,-0.115365168,-0.211302705
"321","Hedmark","sorum_1",3,0.857449207,-0.001892376,-5.5e-16,3.76e-16,-1.74e-16,-0.314398042,0.215114827,-0.099283215
"322","Hedmark","sorum_1",4,1.426833078,-0.004742627,-9.16e-16,8.86e-16,-2.96e-17,-0.523172129,0.506234467,-0.016937662
"323","Hedmark","sorum_1",5,2.193853563,-0.006926545,-1.41e-15,1.3e-15,-1.08e-16,-0.804412973,0.742623883,-0.06178909
"324","Hedmark","sorum_1",6,2.840067388,-0.007605183,-1.82e-15,1.39e-15,-4.33e-16,-1.041358042,0.794012367,-0.247345676
"325","Hedmark","sorum_1",7,3.01034266,-0.007523455,-1.93e-15,1.41e-15,-5.26e-16,-1.103792309,0.803468762,-0.300323546
"326","Hedmark","stangeskovene_aurskog",3,0.506344124,-0.000338366,-3.25e-16,-8.81e-17,-4.13e-16,-0.185659512,-0.050358445,-0.236017957
"327","Hedmark","stangeskovene_aurskog",4,0.255337626,0.000652121,-1.64e-16,-2.01e-16,-3.64e-16,-0.093623796,-0.114627949,-0.208251745
"328","Hedmark","stangeskovene_aurskog",5,0.304771897,0.000597039,-1.96e-16,-2.2e-16,-4.15e-16,-0.111749696,-0.125545132,-0.237294828
"329","Hedmark","stangeskovene_aurskog",6,0.121929316,0.002037149,-7.82e-17,-4.46e-16,-5.24e-16,-0.044707416,-0.254626826,-0.299334242
"330","Hedmark","stangeskovene_aurskog",7,1.163952957,-0.003125581,-7.47e-16,4.55e-16,-2.92e-16,-0.426782751,0.259777096,-0.167005655
"331","Hedmark","stangeskovene_aurskog",8,-0.032700195,-0.000174244,2.1e-17,-3.77e-18,1.72e-17,0.011990072,-0.002154695,0.009835377
"332","Hedmark","stangeskovene_eidskog",3,-0.937902779,0.015470691,6.02e-16,-2.53e-15,-1.93e-15,0.343897686,-1.445893634,-1.101995948
"333","Hedmark","stangeskovene_eidskog",4,-1.178001858,0.015183075,7.56e-16,-2.46e-15,-1.71e-15,0.431934015,-1.406512399,-0.974578385
"334","Hedmark","stangeskovene_eidskog",5,-0.698103662,0.0086861,4.48e-16,-1.35e-15,-8.99e-16,0.255971343,-0.769557482,-0.513586139
"335","Hedmark","stangeskovene_eidskog",6,-0.462582671,0.008465068,2.97e-16,-1.4e-15,-1.1e-15,0.169613646,-0.800560342,-0.630946696
"336","Hedmark","stangeskovene_eidskog",7,-0.177280777,0.006861984,1.14e-16,-1.12e-15,-1.01e-15,0.065002952,-0.640684237,-0.575681285
"337","Hedmark","stangeskovene_eidskog",8,-0.017133322,0.004740139,1.1e-17,-7.3e-16,-7.19e-16,0.006282218,-0.417251395,-0.410969177
"338","Trøndelag","steinkjer_1bbb",1,-0.18342672,0.00138308,1.18e-16,-1.99e-16,-8.11e-17,0.067256464,-0.11361933,-0.046362866
"339","Trøndelag","steinkjer_1bbb",2,-0.04124472,0.000600013,2.65e-17,-1.21e-16,-9.44e-17,0.015123064,-0.069070082,-0.053947018
"340","Trøndelag","steinkjer_1bbb",3,-0.071833955,0.00034355,4.61e-17,-7.82e-17,-3.21e-17,0.026339117,-0.044682112,-0.018342995
"341","Trøndelag","steinkjer_1bbb",4,0.320381893,-0.000628395,-2.06e-16,2.27e-17,-1.83e-16,-0.117473361,0.012990967,-0.104482394
"342","Trøndelag","steinkjer_1bbb",5,0.472520055,-0.001178948,-3.03e-16,1.1e-16,-1.93e-16,-0.173257354,0.063111159,-0.110146195
"343","Trøndelag","steinkjer_1bbb",6,0.218991798,0.00029112,-1.41e-16,-4.58e-17,-1.86e-16,-0.080296993,-0.026149336,-0.106446329
"344","Trøndelag","steinkjer_1bbb",7,0.079756566,-0.00231184,-5.12e-17,2.83e-16,2.32e-16,-0.029244074,0.161758975,0.132514901
"345","Trøndelag","steinkjer_1bbb",8,-0.202037313,-0.003306047,1.3e-16,3.94e-16,5.24e-16,0.074080348,0.225225514,0.299305862
"346","Trøndelag","steinkjer_1bbb",9,-0.121401023,-0.002473036,7.79e-17,3.02e-16,3.8e-16,0.044513709,0.172601862,0.21711557
"347","Trøndelag","steinkjer_1bbb",10,0.61286062,-0.006492139,-3.93e-16,8.32e-16,4.39e-16,-0.224715561,0.475371663,0.250656103
"348","Trøndelag","steinkjer_1bbb",11,-0.708455752,-0.003546535,4.55e-16,4.49e-16,9.04e-16,0.259767109,0.256589077,0.516356186
"349","Trøndelag","steinkjer_2bbb",1,-0.742450635,0.003343109,4.76e-16,-3.88e-16,8.84e-17,0.272231899,-0.221730928,0.050500971
"350","Trøndelag","steinkjer_2bbb",2,-1.228984816,0.004623562,7.89e-16,-5.53e-16,2.35e-16,0.450627766,-0.316249909,0.134377857
"351","Trøndelag","steinkjer_2bbb",3,-1.712504359,0.004846356,1.1e-15,-5.56e-16,5.43e-16,0.627918265,-0.317433254,0.310485011
"352","Trøndelag","steinkjer_2bbb",4,-1.516367112,0.003810893,9.73e-16,-4.45e-16,5.28e-16,0.556001275,-0.25408091,0.301920364
"353","Trøndelag","steinkjer_2bbb",5,-1.634149508,0.007163855,1.05e-15,-8.15e-16,2.34e-16,0.599188153,-0.465689531,0.133498622
"354","Trøndelag","steinkjer_2bbb",6,-4.152065696,0.010478774,2.66e-15,-1.2e-15,1.47e-15,1.522424089,-0.68370695,0.838717139
"355","Trøndelag","steinkjer_2bbb",7,-2.383352268,0.009355156,1.53e-15,-1.06e-15,4.74e-16,0.873895832,-0.603164668,0.270731163
"356","Trøndelag","steinkjer_2bbb",8,-1.937877104,0.001874941,1.24e-15,-1.9e-16,1.05e-15,0.710554938,-0.108679989,0.601874949
"357","Trøndelag","steinkjer_2bbb",9,-2.548346264,0.001984403,1.64e-15,-2.11e-16,1.42e-15,0.93439363,-0.120810586,0.813583044
"358","Trøndelag","steinkjer_2bbb",10,-2.547838212,0.002334759,1.63e-15,-2.11e-16,1.42e-15,0.934207345,-0.120756271,0.813451073
"359","Trøndelag","steinkjer_2bbb",11,-1.956200901,0.014791419,1.26e-15,-1.67e-15,-4.14e-16,0.717273664,-0.953662736,-0.236389072
"360","Hedmark","stig_dahlen",3,3.727821501,-0.01162477,-2.39e-15,2.24e-15,-1.57e-16,-1.366867884,1.277230043,-0.089637841
"361","Hedmark","stig_dahlen",4,4.83522768,-0.01552637,-3.1e-15,2.91e-15,-1.97e-16,-1.772916816,1.660082926,-0.11283389
"362","Hedmark","stig_dahlen",5,8.848191051,-0.027136936,-5.68e-15,4.93e-15,-7.49e-16,-3.244336719,2.816177848,-0.428158871
"363","Hedmark","stig_dahlen",6,14.48539135,-0.037172669,-9.29e-15,6.67e-15,-2.62e-15,-5.31131016,3.81428047,-1.497029691
"364","Hedmark","stig_dahlen",7,17.49701981,-0.037270091,-1.12e-14,6.69e-15,-4.54e-15,-6.415573932,3.82135158,-2.594222352
"365","Hedmark","stig_dahlen",8,16.15435251,-0.03490698,-1.04e-14,6.29e-15,-4.08e-15,-5.923262587,3.591482631,-2.331779957
"366","Trøndelag","sub_namdalseid",1,0.029057692,-0.003223712,-1.86e-17,3.03e-16,2.85e-16,-0.010654487,0.17341349,0.162759003
"367","Trøndelag","sub_namdalseid",2,0.067574419,-0.001121946,-4.34e-17,1.19e-16,7.55e-17,-0.024777287,0.067939393,0.043162106
"368","Trøndelag","sub_namdalseid",3,0.369620504,-0.003072099,-2.37e-16,3.59e-16,1.22e-16,-0.135527518,0.205253199,0.069725681
"369","Trøndelag","sub_namdalseid",4,0.414925828,-0.003769211,-2.66e-16,4.35e-16,1.69e-16,-0.15213947,0.248701406,0.096561936
"370","Trøndelag","sub_namdalseid",5,0.350332394,-0.002828983,-2.25e-16,3.38e-16,1.13e-16,-0.128455211,0.193114301,0.06465909
"371","Trøndelag","sub_namdalseid",6,1.01713044,-0.006965661,-6.53e-16,8.39e-16,1.87e-16,-0.372947828,0.479566911,0.106619083
"372","Trøndelag","sub_namdalseid",7,1.386396943,-0.009317936,-8.9e-16,1.13e-15,2.41e-16,-0.508345546,0.646208137,0.137862591
"373","Trøndelag","sub_namdalseid",8,1.891554625,-0.012483409,-1.21e-15,1.5e-15,2.9e-16,-0.693570029,0.859092221,0.165522192
"374","Trøndelag","sub_namdalseid",9,2.054082848,-0.009882591,-1.32e-15,1.25e-15,-6.64e-17,-0.753163711,0.715234506,-0.037929205
"375","Trøndelag","sub_namdalseid",10,1.926916418,-0.008760746,-1.24e-15,1.12e-15,-1.21e-16,-0.70653602,0.637305822,-0.069230198
"376","Trøndelag","sub_namdalseid",11,1.995953224,-0.009001305,-1.28e-15,1.14e-15,-1.45e-16,-0.731849515,0.648988096,-0.082861419
"377","Hedmark","truls_holm",3,1.105163396,0.00237464,-7.09e-16,-3.21e-16,-1.03e-15,-0.405226579,-0.183180675,-0.588407254
"378","Hedmark","truls_holm",4,1.543060465,0.00163242,-9.9e-16,-1.67e-16,-1.16e-15,-0.565788837,-0.095226909,-0.661015746
"379","Hedmark","truls_holm",5,1.580591975,-0.000224371,-1.01e-15,2.06e-16,-8.08e-16,-0.579550391,0.117552783,-0.461997608
"380","Hedmark","truls_holm",6,3.455240195,-0.005184717,-2.22e-15,1.01e-15,-1.21e-15,-1.266921405,0.578348896,-0.688572508
"381","Hedmark","truls_holm",7,2.193607777,-0.004092696,-1.41e-15,9.18e-16,-4.89e-16,-0.804322852,0.524688775,-0.279634077
"382","Hedmark","truls_holm",8,1.930873496,-0.004279447,-1.24e-15,9.46e-16,-2.93e-16,-0.707986948,0.540473436,-0.167513512
"383","Trøndelag","verdal_1vb",1,0.100030673,-0.000930717,-6.42e-17,6.11e-17,-3.13e-18,-0.036677913,0.034889572,-0.001788342
"384","Trøndelag","verdal_1vb",2,-0.258198907,-0.000505715,1.66e-16,4.12e-17,2.07e-16,0.094672932,0.023546144,0.118219076
"385","Trøndelag","verdal_1vb",3,-0.13503516,-0.000668326,8.66e-17,5.69e-17,1.44e-16,0.049512892,0.032537081,0.082049973
"386","Trøndelag","verdal_1vb",4,0.068688739,-0.000382525,-4.41e-17,-2.98e-18,-4.71e-17,-0.025185871,-0.001702997,-0.026888868
"387","Trøndelag","verdal_1vb",5,-0.029891244,-0.002636594,1.92e-17,2.88e-16,3.08e-16,0.010960123,0.164759807,0.17571993
"388","Trøndelag","verdal_1vb",6,-0.262938018,-0.001046063,1.69e-16,2.07e-16,3.75e-16,0.096410606,0.118004388,0.214414994
"389","Trøndelag","verdal_1vb",7,0.005401436,-0.003050197,-3.47e-18,4.97e-16,4.94e-16,-0.001980527,0.284015596,0.282035069
"390","Trøndelag","verdal_1vb",8,0.428855406,-0.00429467,-2.75e-16,6.54e-16,3.78e-16,-0.157246982,0.37350481,0.216257828
"391","Trøndelag","verdal_1vb",9,0.442191296,-0.004705006,-2.84e-16,6.91e-16,4.07e-16,-0.162136809,0.394959846,0.232823038
"392","Trøndelag","verdal_1vb",10,0.294448601,-0.004474834,-1.89e-16,6.64e-16,4.75e-16,-0.107964487,0.379158591,0.271194104
"393","Trøndelag","verdal_1vb",11,0.089521387,-0.003634032,-5.74e-17,5.45e-16,4.88e-16,-0.032824509,0.311540646,0.278716137
"394","Trøndelag","verdal_2vb",1,-1.056215373,0.005219135,6.78e-16,-7.48e-16,-7.02e-17,0.38727897,-0.427366815,-0.040087845
"395","Trøndelag","verdal_2vb",2,-1.204932019,0.006001033,7.73e-16,-8.37e-16,-6.37e-17,0.441808407,-0.47823412,-0.036425713
"396","Trøndelag","verdal_2vb",3,-1.469989752,0.00719147,9.43e-16,-9.95e-16,-5.14e-17,0.538996242,-0.568371791,-0.029375549
"397","Trøndelag","verdal_2vb",4,-0.86453704,0.005100446,5.55e-16,-7.09e-16,-1.54e-16,0.316996915,-0.405012271,-0.088015356
"398","Trøndelag","verdal_2vb",5,-0.439414841,0.003791623,2.82e-16,-5.44e-16,-2.62e-16,0.161118775,-0.310740284,-0.149621509
"399","Trøndelag","verdal_2vb",6,-0.457831202,0.000777084,2.94e-16,-1.46e-16,1.48e-16,0.167871441,-0.083371177,0.084500264
"400","Trøndelag","verdal_2vb",7,-0.454567124,-0.002366637,2.92e-16,2.57e-16,5.49e-16,0.166674612,0.146979955,0.313654568
"401","Trøndelag","verdal_2vb",8,-1.244979413,0.001307302,7.99e-16,-2.18e-16,5.81e-16,0.456492451,-0.124775256,0.331717196
"402","Trøndelag","verdal_2vb",9,-2.075627452,0.005235821,1.33e-15,-6.91e-16,6.41e-16,0.761063399,-0.394991033,0.366072366
"403","Trøndelag","verdal_2vb",10,-1.447387542,0.002409232,9.29e-16,-3.1e-16,6.18e-16,0.530708765,-0.177417269,0.353291496
"404","Trøndelag","verdal_2vb",11,-1.848799144,0.001871301,1.19e-15,-2.42e-16,9.44e-16,0.677893019,-0.138206832,0.539686188
