FID,Experiment,LocalityCode,Region,LocalityNa,UTM32_East,UTM32_North,UTM33_East,UTM33_North,Longitude,Latitude
0,115,SDB,Hedmark,Stig Dæhlen,640244.5783,6649448.118,305241.599,6651921.305,11.511604,59.958474
1,131,M2B,Hedmark,Maarud 2,652960.4361,6668502.681,319634.3714,6669748.073,11.753235,60.124845
2,63,2CAB,Telemark,Nome_Cappelen2,507116,6569268,165308.5002,6584030.265,9.12481,59.262313
3,109,STSKNB,Hedmark,Eidskog,650532.9186,6659294.909,316381.6429,6660797.202,11.702825,60.04316
4,83,6NOB,Telemark,Notodden6,500621,6601851,161770.9121,6617111.815,9.010986,59.55497
5,21,1KB,Trøndelag,namdalseid_1kub,612355.2617,7128541.76,321755.4638,7131652.408,11.319426,64.264537
6,119,FKB,Hedmark,Fet 3,626838.5072,6634370.432,290521.9722,6638114.722,11.262528,59.82754
7,113,DHB,Hedmark,Didrik Holmsen,636003.2648,6637464.809,299931.8792,6640368.204,11.427864,59.852391
8,121,HPB,Hedmark,Halvard Pramhus,675536.5897,6666187.512,341907.9987,6665395.004,12.156934,60.095024
9,43,KLB,Trøndelag,Selbu_kl,602214.3634,7008675.209,300411.3191,7013230.114,11.031603,63.192682
10,127,IAAB,Hedmark,Kongsvinger 1,663068.0256,6676665.801,330441.6692,6676960.948,11.941436,60.194141
11,31,1NSB,Trøndelag,Nsb_Verdal,626747.4686,7082154.045,331723.3331,7084107.632,11.577472,63.843674
12,49,SEB,Trøndelag,Sl_Tydal,622494.6344,6993129.739,319158.3104,6995855.471,11.422647,63.046955
13,105,DDB,Hedmark,Nes 1,638458.3165,6663128.895,304702.1281,6665710.803,11.488864,60.081806
14,65,2KVB,Telemark,Kviteseid2,474349.001,6574519,133098.5807,6592221.381,8.549483,59.30875
15,35,BRB,Trøndelag,Bratsberg,573730.7605,7025717.273,273632.042,7032867.669,10.473511,63.352546
16,59,1KVB,Telemark,Kviteseid1,454436,6578589,113599.4889,6598078.322,8.198916,59.343617
17,45,SLB,Trøndelag,Selbu_Sl,600240.8352,7002355.929,297855.6885,7007120.352,10.988518,63.136555
18,129,M1B,Hedmark,Maarud 1,643833.9711,6673083.752,310959.8523,6675139.01,11.592398,60.169248
19,107,OLB,Hedmark,Nes 2,646086.3675,6664195.353,312397.0007,6666081.345,11.62658,60.088723
20,125,JCDB,Hedmark,Kongsvinger 2,665165.5737,6668861.46,331822.5017,6668998.33,11.972881,60.123316
21,81,5NOB,Telemark,Notodden5,498361,6617427,160925.5849,6632850.368,8.970883,59.694837
22,53,1FRB,Telemark,Fritsøe1,541954,6586645,201613.7307,6598217.636,9.739193,59.416329
23,79,4NOB,Telemark,Notodden4,506027.0005,6621632,168951.3153,6636350.065,9.10719,59.732556
24,27,2VBB,Trøndelag,verdal_2VB,632223.6924,7070402.36,336073.2892,7071892.332,11.678672,63.7363
25,111,THB,Hedmark,Truls Holm,656934.8567,6638080.116,320837.0393,6639087.451,11.801503,59.850496
26,69,1DRB,Telemark,Drangedal1,508400,6554466,165256.448,6569152.366,9.146759,59.129363
27,57,1FYB,Telemark,Furesdal,448349,6577832,107457.8164,6597872.38,8.092094,59.336119
28,33,1SB,Trøndelag,Sub_Namdalseid,612448.1764,7119293.36,320976.7804,7122434.188,11.314401,64.181582
29,39,MAB,Trøndelag,Malvik,586338.2566,7026718.489,286284.4327,7032685.716,10.725884,63.358705
30,71,4DRB,Telemark,Drangedal4,489810,6542535,145641.6291,6558924.089,8.822521,59.022177
31,61,1CAB,Telemark,Nome_Cappelen1,515044,6555850,172006.992,6569934.879,9.262933,59.141608
32,51,1RB,Trøndelag,ingen,619743.6293,7130943.461,329338.8246,7133347.659,11.47371,64.283573
33,47,LAB,Trøndelag,Singsås,598522.4501,6983494.337,294384.8348,6988493.912,10.943145,62.967839
34,117,SSAB,Hedmark,Stangeskovene Aurskog,631842.4467,6636904.31,295736.2395,6640186.31,11.353306,59.84871
35,37,HIB,Trøndelag,Hi_tydal,621735.5058,6998807.248,318931.8676,7001580.28,11.411862,63.098123
36,77,3NOB,Telemark,Notodden3,504520,6615412,166885.5543,6630283.524,9.080254,59.676721
37,73,3DRB,Telemark,Drangedal3,490507,6546348,146679.7107,6562664.852,8.834496,59.056436
38,25,1BBB,Trøndelag,steinkjer_1BBb,640320.0285,7123993.684,349171.2537,7124489.582,11.891657,64.213491
39,41,FLB,Trøndelag,Selbu_Flub,602348.5007,7015565.991,301188.5914,7020080.715,11.038617,63.254449
40,123,SSBB,Hedmark,Stangeskovene Eidskog,661090.6684,6649373.538,325998.1801,6649959.236,11.884357,59.950178
41,133,M3B,Hedmark,Maarud 3,657032.0242,6667000.297,323553.2989,6667882.436,11.825264,60.109828
42,55,2FRB,Telemark,Fritsøe2,546820,6581294,205982.6141,6592444.067,9.823752,59.367768
43,75,1NOB,Telemark,Notodden1,518155,6606846,179707.9748,6620508.378,9.32161,59.599431
44,67,3KVB,Telemark,Kviteseid3,458385.0015,6581744,117824.2293,6600869.674,8.267729,59.372355
45,23,1VBB,Trøndelag,verdal_1vb,637950.4275,7069003.002,341644.0763,7069961.891,11.793287,63.721556
46,135,SKB,Hedmark,Sørum 1,629168.943,6644517.132,293761.9282,6648012.218,11.310369,59.917857
47,29,2BBB,Trøndelag,steinkjer_2BBb,638924.8195,7122418.941,347633.8953,7123053.151,11.86149,64.199944